id,sentence,VI,normalized-VI,homogeneity,completeness,V-score
92,"In fact , he liberated the U.S. from one of the world 's most corrupt organizations -- UNESCO .",1.8881212095224837,0.31594248318462065,0.6424965310263794,0.7313672573699872,0.6840575168153791
93,"This is the U.N. group that managed to traduce its own charter of promoting education , science and culture .",1.9182263988300141,0.3350245246145251,0.6337852052872436,0.6993945577155763,0.6649754753854749
94,"Ever since , the remaining members have been desperate for the United States to rejoin this dreadful group .",1.4478828949645743,0.24150135962602712,0.6835485486086454,0.8519092332873571,0.7584986403739726
95,Now UNESCO apologists are lobbying President Bush to renege on President Reagan 's decision to depart .,0.5882352941176467,0.11332127813732504,0.8437457298857258,0.934215141614527,0.8866787218626748
96,But we can think of many reasons to stay out for the foreseeable future and well beyond .,2.0294069451656003,0.36500781389299447,0.5269063849586159,0.7988657916828048,0.6349921861070055
97,"The U.S. , along with Britain and Singapore , left the agency when its anti-Western ideology , financial corruption and top leadership got out of hand .",1.8804037012284072,0.3086691190611342,0.6668364606791509,0.7176933919854388,0.6913308809388659
98,"The personal antics of agency Director Amadou-Mahtar M'Bow drew much attention , such as when several of his top aides were uncovered as KGB plants and ejected from France and when a mysterious office fire was set just before Congress sent accountants to trace U.S. funds .",2.7783814879744404,0.4776990359725879,0.4486705402668815,0.6248426378891752,0.522300964027412
99,"Mr. M'Bow was an extreme case , but even his replacement , the more personally genial Spanish biochemist Federico Mayor , has had little success at achieving reforms .",2.34049320623887,0.40077111274596294,0.5411836917579089,0.6712214073630985,0.5992288872540372
100,"Several ridiculous projects continue , including the `` New International Economic Order , '' which means redistributionism from the West to pay for everyone else 's statism .",2.356220301822753,0.388705427584682,0.5936476313807835,0.6300228125979113,0.611294572415318
101,"The Orwellian `` New World Information Order '' would give government officials rights against the press ; journalists would be obliged to kowtow to their government , which would have licensing and censorship powers and , indeed , duties to block printing of `` wrong '' ideas .",2.3031470162867373,0.4102112789935089,0.5421807866904979,0.6465622025172171,0.5897887210064913
